,lat,lon
0,41.77900000000333,-72.21199999999955
1,41.80400000000004,-72.25199999999997
2,41.806000000000026,-72.25300000000031
3,41.805,-72.25300000000001
4,33.75399999999993,-78.80700000000022
5,33.75199999999998,-78.80699999999996
6,33.75,-78.808
7,41.61400000000132,-73.1170000000045
8,41.7790000000003,-72.20999999999947
9,41.77800000000001,-72.21099999999991
10,41.77799999999902,-72.21000000000164
11,41.806000000000004,-72.25599999999999
12,41.805999999999834,-72.25400000000023
13,41.813999999999986,-72.27099999999999
14,41.80400000000007,-72.24899999999982
15,41.806000000000026,-72.24899999999988
16,41.80400000000007,-72.24799999999972
17,41.803000000000004,-72.24199999999999
18,41.61399999999978,-73.116
19,41.76399999999997,-72.68800000000006
20,41.803000000000004,-72.32400000000001
21,41.61300000000001,-73.11700000000008
22,41.628999999999934,-73.1490000000001
23,41.628000000000014,-73.14899999999997
24,41.563999999999645,-73.05500000000025
25,41.565000000000026,-73.05500000000005
26,41.59300000000002,-73.10999999999999
27,41.636,-73.11199999999998
28,41.628999999999984,-73.14799999999998
29,41.629000000000005,-73.14699999999998
30,41.346000000000004,-72.57999999999998
